category,question_title,question_content,question_date,question_url
Huyết học,"Cho em hỏi  PDW tăng lên 40,6 và MPV giảm còn 4,5 thì có sao không ạ?","Em đi xét nghiệm máu thì PDW : 40,6 và MPV : 4,5 còn tất cả chỉ số còn lại bình thường thì có bị bệnh gì không ạ? Em có chụp Xquang ở bệnh viện  Đại Học Y Dược thì tìm phổi bình thường, đo điện tim bình thường, MRI sọ não bình thường, Xquang cột sống ngực và cổ bình thường. Nội soi thì bị amidan mạn và viêm họng mạn tính. Xét nghiệm sinh hoá máu thì Glucose bình thường, Creatinin,GFR,AST, ALT bình thường. Nhưng em rất hay bị nhức mỏi thần kinh cổ, đau hai vai khi ngồi lâu. Không biết em có bị bệnh gì không ạ.Mong nhận đc sự giải đáp của bác sỉ ạ. Em cảm ơn.",22/09/2020,https://medlatec.vn/hoi-dap/-cho-em-hoi--pdw-tang-len-406-va-mpv-giam-con-45-thi-co-sao-khong-a-c11-q56805#traloi
Huyết học,Cấy gép tế bào goc,Bác sĩ tư vấn giúp tôi về phương pháp cấy gép tế bào gốc cho bệnh với ạ.những đối tượng nào thì cấy gép được ạ.con tôi đứa lớn 4 tuổi mà 3 tuòir đã phát hiện mắc bênh.đứa thứ 2 thì mới 2 tuổi 2 tháng.đứa lớn bị nên tôi đưa đứa nhỏ đi xét nghiệm thì phát hiện nó cũng bị.điều kiện thế nào để đi cấy hả bác.giúp tôi cứu con với,22/09/2020,https://medlatec.vn/hoi-dap/cay-gep-te-bao-goc-c11-q56804#traloi
Huyết học,Bệnh tan máu bẩm sinh,Con gái tôi năm nay 6tuổi bé nặng có 16kg..con trai tôi 3tuổi bé cả hai bé đều bị tan máu bẩm sinh. Nếu cấy ghép tế bào thì chi phí điều trị bao nhiêu vậy bác si tư vấn dùm àh,22/09/2020,https://medlatec.vn/hoi-dap/be%CC%A3nh-tan-mau-ba%CC%89m-sinh--c11-q56800#traloi
Huyết học,Hỏi chỉ số,"Chào bs, tôi 52t,  khám sức khoẻ làm xét nghiệm định lượng CA 72-4 là 8,92 U/ml, trong khi giá trị bình thường của máy xét nghiệm báo là <8,2 xin bs tư vấn cho tôi với",18/09/2020,https://medlatec.vn/hoi-dap/hoi-chi-so-c11-q56681#traloi
Huyết học,Hỏi về Chỉ số xét nghiệm máu,"Tôi xét nghiệm máu, chỉ số RBC: 3.7, HB:10,6,  HCT: 32,4 đều giảm. RDW- CV tăng 18.2. 
      Cách đây 2 hôm tôi có đau 1 bên thái dương, nhịp tim tăng, huyết áp tăng hơn so với mọi ngày nhưng không cao.( 110/80)
     Tôi lâu nay bị tăng tiểu cầu không rõ nguyên nhân. Tôi có uống các thực phẩm CN như Natto ezim để hoạt huyết tránh cục máu đông và ăn mộc nhĩ.  Chỉ số PLT hiện nay 775.
Tôi muốn hỏi chỉ số hồng cầu giảm như vậy thì có thể dự đoán lí do tại sao không ?",12/09/2020,https://medlatec.vn/hoi-dap/hoi-ve-chi-so-xet-nghiem-mau-c11-q56470#traloi
Huyết học,Xét nghiệm máu,"Bác sỹ cho e hỏi WBC23.72, còn RBC5.10la bị sao ạ",08/09/2020,https://medlatec.vn/hoi-dap/xet-nghiem-mau-c11-q56307#traloi
Huyết học,Câu hỏi kết quả sàng lọc,"Chào bs e vừa có kết quả sàng lọc chỉ số 
Tiểu câu PLT:140 g/l
Glucose máu 2.48 mmol/L
Các tỉ lệ đều giảm. Thì có ảnh hưởng gì ko ạ?
Bác sĩ có thể tư vấn nguyên nhân, mức độ nguy hiểm và cách chữa bệnh như thế nào được ko ạ?",07/09/2020,https://medlatec.vn/hoi-dap/cau-hoi-ket-qua-sang-loc-c11-q56294#traloi
Huyết học,Bạch cầu mono tăng,"Chào Bác sĩ. Em có đi xét nghiệm máu và kết quả trả về là số lượng bạch cầu monocyte của e là 0,53. Theo so sánh với mức cho phép thì đã bị vượt. Vậy bác sĩ cho e hỏi nguyên dẫn dẫn đến tình trạng này?  Sự ảnh hưởng và cách điều trị với ạ. Mong sớm nhận được câu trả lời của bác sĩ. Em cảm ơn.",07/09/2020,https://medlatec.vn/hoi-dap/bach-cau-mono-tang-c11-q56269#traloi
Huyết học,"Chỉ số HGB, MCV, MCH thấp","Chào bác sĩ!
Em làm xét nghiệm huyết học có chỉ số HGB 106, MCV 62.8, MCH 19.4; còn chồng em có chỉ số HGB 131, MCV 61.1, MCH 19.3. Bác sĩ cho em hỏi  có phải cả hai vợ chồng em có phải đều bị thiếu máu do gen dị truyền không? Em sinh con có ảnh hưởng gì không? Em cảm ơn ạ",03/09/2020,https://medlatec.vn/hoi-dap/chi-so-hgb-mcv-mch-thap-c11-q56114#traloi
Huyết học,Chảy máu chân răng,"Chào bs!  Khoảng 5 tháng nay e thường xuyên bị đau lưng dưới, đau các khớp tay  và chảy máu chân răng! E đã đi siêu âm tổng quát kiểm tra gan, thận, xét nghiệm máu tổng quát nhưng không phát hiện ra bệnh, nướu của e cũng ko bị sưng đau! E cũng thường xuyên uống nước cam nhưng vẫn Không đỡ!  Bs cho e hỏi e bị bệnh gì và nên khám ở đâu ạ! Hiện tại e rất lo lắng,  mong bs giải đáp sớm ạ!  E xin cám ơn!",03/09/2020,https://medlatec.vn/hoi-dap/chay-mau-chan-rang--c11-q56101#traloi
